task,model,privacy_mechanism,epsilon,delta,seed,metric,value
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,fpr_group_male,0.13793103448275862
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,group_size_female,137.0
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,group_size_male,131.0
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,mia_loss_threshold_auc,0.5157514123308691
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,mia_tpr_at_fpr_0.01,0.007009345794392523
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,achieved_epsilon,0.4926042171759174
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,noise_multiplier,11.5625
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,roc_auc,0.9507728494623656
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,pr_auc,0.9703764263849473
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,accuracy,0.8992537313432836
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,precision,0.9090909090909091
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,recall,0.9027777777777778
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,f1,0.9059233449477352
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,macro_f1,0.8987448050039881
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,brier,0.07410027831792831
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,ece,0.07332925725973265
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,threshold,0.4237350962269845
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,demographic_parity_difference,0.02836128600880372
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,equalized_odds_difference,0.10843141038008874
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,tpr_group_female,0.9577464788732394
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,tpr_group_male,0.8493150684931506
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,fpr_group_female,0.10606060606060606
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,fpr_group_male,0.10344827586206896
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,group_size_female,137.0
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,group_size_male,131.0
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,mia_loss_threshold_auc,0.5123252022597294
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,mia_tpr_at_fpr_0.01,0.0011682242990654205
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,achieved_epsilon,1.9979365212033011
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,1,noise_multiplier,3.37890625
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,roc_auc,0.9516689068100359
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,pr_auc,0.9705836888884257
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,accuracy,0.8955223880597015
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,precision,0.8972602739726028
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,recall,0.9097222222222222
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,f1,0.903448275862069
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,macro_f1,0.8948135688253435
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,brier,0.07418139278888702
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,ece,0.06719072424344466
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,threshold,0.38719875893401146
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,demographic_parity_difference,0.03532623836852955
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,equalized_odds_difference,0.09473278024310239
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,tpr_group_female,0.9577464788732394
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,tpr_group_male,0.863013698630137
