task,model,privacy_mechanism,epsilon,delta,metric,mean,std,ci_lower,ci_upper,n_runs,method
high_cost,neural,none,inf,,tpr_group_female,0.924446671232008,0.030117809050989628,0.8870504720286186,0.9618428704353973,5,repeated_seed_t
high_cost,neural,none,inf,,tpr_group_male,0.8825425754637166,0.0405812255819218,0.8321543286556587,0.9329308222717745,5,repeated_seed_t
high_cost,svm,none,inf,,accuracy,0.9253731343283583,0.00951309610744923,0.9135610653802863,0.9371852032764304,5,repeated_seed_t
high_cost,svm,none,inf,,brier,0.06340146822871455,0.012071109194157242,0.04841320652394305,0.07838972993348604,5,repeated_seed_t
high_cost,svm,none,inf,,demographic_parity_difference,0.05060991772953412,0.029182908542854297,0.01437455082899887,0.08684528463006937,5,repeated_seed_t
high_cost,svm,none,inf,,ece,0.06055258589080623,0.009207902659495833,0.049119464659545566,0.07198570712206691,5,repeated_seed_t
high_cost,svm,none,inf,,equalized_odds_difference,0.0952452502112859,0.020776840746338385,0.0694473950601445,0.1210431053624273,5,repeated_seed_t
high_cost,svm,none,inf,,f1,0.9209730924428708,0.00845174960148041,0.9104788592408796,0.9314673256448621,5,repeated_seed_t
high_cost,svm,none,inf,,fpr_group_female,0.024809327605856052,0.023834631178224132,-0.0047852758386098156,0.054403931050321916,5,repeated_seed_t
high_cost,svm,none,inf,,fpr_group_male,0.03421207145345077,0.026738065588740676,0.0010123780303005411,0.067411764876601,5,repeated_seed_t
high_cost,svm,none,inf,,group_size_female,130.4,7.602631123499284,120.96008664232751,139.83991335767251,5,repeated_seed_t
high_cost,svm,none,inf,,group_size_male,137.6,7.602631123499284,128.16008664232749,147.0399133576725,5,repeated_seed_t
high_cost,svm,none,inf,,macro_f1,0.9248258050965461,0.009113104337814508,0.9135103915284073,0.9361412186646849,5,repeated_seed_t
high_cost,svm,none,inf,,pr_auc,0.9665584808497505,0.00904467731152307,0.9553280306566618,0.9777889310428391,5,repeated_seed_t
high_cost,svm,none,inf,,precision,0.9696440088678122,0.01885200941100083,0.9462361474883739,0.9930518702472505,5,repeated_seed_t
high_cost,svm,none,inf,,recall,0.877289309271713,0.015305493015285606,0.8582850296198737,0.8962935889235523,5,repeated_seed_t
high_cost,svm,none,inf,,roc_auc,0.9474237057644919,0.015201935030321244,0.9285480103343093,0.9662994011946744,5,repeated_seed_t
high_cost,svm,none,inf,,threshold,0.644102173869347,0.11412144173004923,0.5024016882500362,0.7858026594886578,5,repeated_seed_t
high_cost,svm,none,inf,,tpr_group_female,0.8955218776303567,0.056608968791687614,0.8252325591062778,0.9658111961544357,5,repeated_seed_t
high_cost,svm,none,inf,,tpr_group_male,0.857376099834379,0.043041902174530355,0.8039325194900564,0.9108196801787016,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,accuracy,0.9373134328358208,0.028588031805041686,0.9018167029639964,0.9728101627076452,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,achieved_epsilon,0.4926042171759174,0.0,0.4926042171759174,0.4926042171759174,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,brier,0.05103483088314533,0.018127607258662484,0.028526433576486893,0.07354322818980377,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,demographic_parity_difference,0.05293395734524005,0.02468318552487727,0.02228573451801566,0.08358218017246444,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,ece,0.05270821828482174,0.0138148063937689,0.03555487054352372,0.06986156602611976,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,equalized_odds_difference,0.08263325281761576,0.061043387413202504,0.006837876338237403,0.1584286292969941,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,f1,0.8531089057648901,0.06984096257254747,0.7663898969386613,0.9398279145911188,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,fpr_group_female,0.05237778297130423,0.022369034489163248,0.024602958171531897,0.08015260777107656,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,fpr_group_male,0.04934288329456458,0.031379319634586914,0.010380311816169517,0.08830545477295965,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,group_size_female,133.0,6.4031242374328485,125.0494711583537,140.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,group_size_male,135.0,6.4031242374328485,127.0494711583537,142.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,macro_f1,0.9066223722815241,0.04387703245216578,0.8521418407376516,0.9611029038253965,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,mia_loss_threshold_auc,0.49930560398939877,0.014890397852008798,0.4808167330576288,0.5177944749211687,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,mia_tpr_at_fpr_0.01,0.010981308411214953,0.005758765207414129,0.0038308569790603967,0.01813175984336951,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,noise_multiplier,11.5625,0.0,11.5625,11.5625,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,pr_auc,0.9309795704874938,0.029262309867989923,0.894645613820128,0.9673135271548596,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,precision,0.8173997211920355,0.06065465330820925,0.7420870218557012,0.8927124205283699,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,recall,0.8945454545454545,0.09655213125346727,0.7746601492181797,1.0144307598727293,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,roc_auc,0.980998719590269,0.010600816585694551,0.9678360672842506,0.9941613718962873,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,threshold,0.20380867453076892,0.1448130010506671,0.023999584654311734,0.3836177644072261,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,tpr_group_female,0.8532424242424244,0.11851156406555247,0.7060908817714089,1.0003939667134398,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,0.4926042171759174,1e-05,tpr_group_male,0.9268817204301076,0.08640706603857336,0.8195931773395959,1.0341702635206194,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,accuracy,0.9649253731343285,0.013349659567162945,0.9483495814615058,0.9815011648071511,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,achieved_epsilon,1.997936521203301,2.482534153247273e-16,1.9979365212033007,1.9979365212033011,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,brier,0.038181860372424124,0.01212547143554418,0.023126099029660806,0.05323762171518744,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,demographic_parity_difference,0.04418799645028738,0.017882309957874543,0.021984175970873886,0.06639181692970086,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,ece,0.05291654645785158,0.01227087829644055,0.03768023865082141,0.06815285426488174,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,equalized_odds_difference,0.019399376380778204,0.016521054901265254,-0.0011142227024707047,0.03991297546402711,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,f1,0.9213289715242408,0.028020751986860673,0.8865366125795593,0.9561213304689222,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,fpr_group_female,0.042208933546628954,0.009908884772135751,0.02990542806271848,0.05451243903053943,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,fpr_group_male,0.04198107671626315,0.023558138328356574,0.012729784489238592,0.07123236894328772,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,group_size_female,133.0,6.4031242374328485,125.0494711583537,140.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,group_size_male,135.0,6.4031242374328485,127.0494711583537,142.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,macro_f1,0.9493780065665003,0.018382633073510495,0.9265529528869325,0.9722030602460681,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,mia_loss_threshold_auc,0.5059819186776399,0.017800084012571014,0.48388019519422804,0.5280836421610516,5,repeated_seed_t
